,NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형,단위면적가격,주소,위도,경도,행정동
0,1,서울특별시 강서구 공항동,14-10,14,10,스카이,55.29,202411,29,33500.0,-,2,개인,개인,2000,공항대로7길 40,-,중개거래,서울 강서구,-,아파트,605.8961837583649,공항대로7길 40,37.5625894838933,126.813617009487,공항동
1,2,서울특별시 구로구 신도림동,642,642,0,대림1,84.95,202411,28,77000.0,-,2,개인,개인,1999,신도림로 16,-,직거래,-,-,아파트,906.4155385520894,신도림로 16,37.5051228166042,126.88219103785,신도림동
2,3,서울특별시 금천구 독산동,1140,1140,0,독산동중앙하이츠빌,84.8768,202411,28,73000.0,-,16,개인,개인,2004,범안로 1136,-,중개거래,서울 금천구,-,아파트,860.0701251696577,범안로 1136,37.4653308234224,126.888536683719,독산1동
3,4,서울특별시 양천구 신월동,987-1,987,1,신월시영,43.2,202411,28,45500.0,-,4,개인,개인,1988,신월로 99,-,중개거래,"서울 강서구, 서울 양천구",-,아파트,1053.2407407407406,신월로 99,37.5184159016956,126.835157228112,신월7동
4,5,서울특별시 노원구 상계동,666,666,0,상계주공10(고층),49.94,202411,28,50000.0,-,10,개인,공공기관,1988,노원로 564,-,중개거래,서울 노원구,-,아파트,1001.2014417300761,노원로 564,37.6616521070339,127.05612466376,상계8동
5,6,서울특별시 강남구 대치동,1007-2,1007,2,풍림아이원4차(1007-2),111.54,202411,28,215000.0,-,6,개인,개인,2004,영동대로 330-7,-,중개거래,서울 서초구,-,아파트,1927.559619867312,영동대로 330-7,37.5042541101006,127.066784450469,대치2동
6,7,서울특별시 서대문구 홍은동,455,455,0,홍은동벽산,84.78,202411,28,70000.0,-,12,개인,개인,1997,세검정로1길 95,-,중개거래,서울 서대문구,-,아파트,825.6664307619722,세검정로1길 95,37.5959199688468,126.94569176914,홍은1동
7,8,서울특별시 서대문구 천연동,145,145,0,천연뜨란채,56.02,202411,28,77500.0,-,4,개인,개인,2006,독립문로8길 54,-,중개거래,서울 서대문구,-,아파트,1383.4344876829703,독립문로8길 54,37.5687909291458,126.958474382973,천연동
8,9,서울특별시 서대문구 홍은동,456,456,0,두산,84.84,202411,27,72800.0,-,13,개인,개인,1997,모래내로 309,-,중개거래,"서울 강남구, 서울 서대문구",-,아파트,858.085808580858,모래내로 309,37.578896435345,126.931492692669,홍은2동
9,10,서울특별시 성북구 길음동,1287-1,1287,1,롯데캐슬골든힐스,73.9713,202411,27,89000.0,-,7,개인,개인,2019,서경로 60,-,중개거래,서울 성북구,-,아파트,1203.1693372970328,서경로 60,37.6099259937222,127.015458405282,정릉1동
